Name,Image,Album,1998,1999,2000,2001,2002,2003,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2019,2020,2021
Fruit Salad,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Georgia (On My Mind),,,0,0,0,1,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
Glass of Water,,,0,0,0,0,0,0,0,0,0,5,74,84,84,84,84,84,84,84,84,84,84,84
Gnossienne No. 1,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
God Put a Smile Upon Your Face,,,0,0,0,46,121,206,299,349,360,383,385,388,431,500,501,511,511,527,560,560,560,560
God Put a Smile Upon Your Face / Talk,,,0,0,0,0,0,0,0,0,0,59,138,146,146,146,146,146,146,146,146,146,146,146
Gone But Not,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Gothenburg Song,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Gravity,,,0,0,0,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Great Balls of Fire,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Green Eyes,,,0,0,0,0,43,44,61,62,66,90,159,159,160,161,161,163,163,173,181,181,181,181
Guns,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6
Gypsy Woman (She's Homeless),,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Halo,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Happy Birthday to You,,,0,0,0,0,0,3,3,3,3,4,5,5,5,6,6,6,7,8,10,10,11,11
Happy Xmas (War Is Over),,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Harmless,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Have I Told You Lately,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Have Yourself a Merry Little Christmas,,,0,0,3,5,9,9,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11
Heart of the City (Ain't No Love),,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Help Is Round the Corner,,,0,0,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
Hen Wlad Fy Nhadau,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
Here Comes the Sun,,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High Speed,,,2,3,92,105,105,105,105,105,106,106,106,106,106,106,106,106,106,106,106,106,106,106
