Name,Image,Album,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,2015
Chinatown Shuffle,,,0,0,0,0,0,0,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
Chinese Bones,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Clementine,,,0,0,0,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Close Encounters of the Third Kind,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cold Jordan,,,0,0,0,0,1,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Cold Rain and Snow,,,1,12,22,22,37,76,88,99,102,103,103,110,112,115,120,129,140,144,152,159,167,173,180,188,199,211,221,228,236,242,246,246
Comes a Time,,,0,0,0,0,0,0,12,21,21,21,21,27,32,33,34,41,41,41,41,41,52,59,61,61,61,62,64,64,65,66,66,66
Corrina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,46,65,81,81
Cosmic Charlie,,,0,0,0,1,21,39,40,40,40,40,40,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
Cowboy Song,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Crazy Fingers,,,0,0,0,0,0,0,0,0,0,0,2,11,11,11,11,11,11,18,19,19,29,33,40,55,70,85,102,112,128,139,145,147
Cream Puff War,,,0,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12
Cryptical Envelopment,,,0,0,1,9,24,44,57,58,58,58,58,58,58,58,58,58,58,58,58,58,63,63,63,63,63,63,63,63,63,63,63,65
Cumberland Blues,,,0,0,0,0,15,62,106,129,135,142,142,142,142,142,142,142,153,157,163,169,174,178,190,199,207,210,213,214,218,223,225,229
Dancing in the Street,,,0,6,12,14,21,48,49,49,49,49,49,75,88,102,109,109,110,110,110,116,122,125,126,126,126,126,126,126,126,126,126,126
